RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  1380    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  153  207     0     0  con    0  1.0E+00  9.5E-01  1.479E+03  2.829E+06
  154  208     0     0  con    0  1.0E+00  5.2E+00  1.124E+03  2.827E+06
  155  209     0     0  con    0  1.0E+00  1.4E+01  1.250E+03  2.825E+06
  156  210     0     0  con    0  1.0E+00  3.5E+00  4.068E+02  2.823E+06
  157  211     0     0  con    0  1.0E+00  5.0E+00  1.042E+03  2.822E+06
  158  212     0     0  con    0  1.0E+00  3.6E+00  2.856E+02  2.821E+06
  159  213     0     0  con    0  1.0E+00  1.8E+00  3.013E+02  2.820E+06
  160  214     0     0  con    0  1.0E+00  3.4E+00  3.185E+02  2.820E+06
  161  215     0     0  con    0  1.0E+00  5.2E+00  4.067E+02  2.819E+06
  162  216     0     0  con    0  1.0E+00  2.2E+00  6.083E+02  2.818E+06
  163  217     0     0  con    0  1.0E+00  2.9E+00  5.721E+02  2.818E+06
  164  218     0     0  con    0  1.0E+00  1.2E+00  2.494E+02  2.817E+06
  165  219     0     0  con    0  1.0E+00  2.9E+00  2.812E+02  2.817E+06
  166  220     0     0  con    0  1.0E+00  2.9E+00  3.723E+02  2.816E+06
  167  221     0     0  con    0  1.0E+00  2.7E+00  9.721E+02  2.816E+06
  168  222     0     0  con    0  1.0E+00  1.9E+00  3.385E+02  2.815E+06
  169  223     0     0  con    0  1.0E+00  3.3E+00  3.822E+02  2.814E+06
  170  224     0     0  con    0  1.0E+00  3.0E+00  4.394E+02  2.813E+06
  171  225     0     0  con    0  1.0E+00  1.5E+00  2.358E+02  2.813E+06
  172  226     0     0  con    0  1.0E+00  1.4E+00  1.575E+02  2.813E+06
  173  227     0     0  con    0  1.0E+00  1.2E+00  1.498E+02  2.812E+06
  174  228     0     0  con    0  1.0E+00  2.7E+00  2.791E+02  2.812E+06
  175  229     0     0  con    0  1.0E+00  6.3E+00  4.127E+02  2.811E+06
  176  230     0     0  con    0  1.0E+00  1.8E+00  3.124E+02  2.811E+06
  177  231     0     0  con    0  1.0E+00  2.8E+00  2.239E+02  2.810E+06
  178  232     0     0  con    0  1.0E+00  4.1E+00  2.685E+02  2.809E+06
  179  233     0     0  con    0  1.0E+00  5.1E+00  3.607E+02  2.808E+06
  180  236     0     0  con    2  1.1E-01  1.3E+00  3.603E+02  2.808E+06
  181  237     0     0  con    0  1.0E+00  7.9E-01  3.576E+02  2.808E+06
  182  238     0     0  con    0  1.0E+00  3.2E+00  4.768E+02  2.807E+06
  183  239     0     0  con    0  1.0E+00  3.9E+00  2.137E+02  2.807E+06
  184  240     0     0  con    0  1.0E+00  3.3E+00  2.720E+02  2.806E+06
  185  241     0     0  con    0  1.0E+00  3.6E+00  2.987E+02  2.806E+06
  186  242     0     0  con    0  1.0E+00  2.5E+00  3.975E+02  2.805E+06
  187  243     0     0  con    0  1.0E+00  9.7E-01  1.359E+02  2.805E+06
  188  244     0     0  con    0  1.0E+00  1.8E+00  2.081E+02  2.805E+06
  189  245     0     0  con    0  1.0E+00  1.8E+00  3.030E+02  2.805E+06
  190  246     0     0  con    0  1.0E+00  2.7E+00  5.571E+02  2.804E+06
  191  247     0     0  con    0  1.0E+00  5.5E+00  5.803E+02  2.804E+06
  192  248     0     0  con    0  1.0E+00  6.7E+00  4.284E+02  2.803E+06
  193  251     0     0  con    2  2.8E-01  8.4E+00  9.352E+02  2.801E+06
  194  252     0     0  con    0  1.0E+00  3.9E+00  4.312E+02  2.800E+06
  195  253     0     0  con    0  1.0E+00  7.2E+00  4.219E+02  2.799E+06
  196  254     0     0  con    0  1.0E+00  1.3E+01  6.525E+02  2.796E+06
  197  256     0     0  con    1  4.1E-01  2.0E+00  5.515E+02  2.796E+06
  198  257     0     0  con    0  1.0E+00  7.7E+00  1.349E+03  2.795E+06
  199  258     0     0  con    0  1.0E+00  2.5E+00  3.258E+02  2.794E+06
  200  259     0     0  con    0  1.0E+00  2.6E+00  2.864E+02  2.794E+06
  201  261     0     0  con    1  4.9E-01  1.6E+00  2.382E+02  2.794E+06
  202  263     0     0  con    1  3.8E-01  7.1E-01  2.043E+02  2.794E+06
  203  264     0     0  con    0  1.0E+00  1.9E+00  5.407E+02  2.793E+06
  204  266     0     0  con    1  4.0E-01  9.2E-01  3.806E+02  2.793E+06
  205  267     0     0  con    0  1.0E+00  1.6E+00  3.174E+02  2.793E+06
  206  268     0     0  con    0  1.0E+00  9.1E-01  2.480E+02  2.793E+06
  207  269     0     0  con    0  1.0E+00  7.4E-01  1.548E+02  2.792E+06
  208  270     0     0  con    0  1.0E+00  9.7E-01  1.810E+02  2.792E+06
  209  271     0     0  con    0  1.0E+00  8.5E-01  2.159E+02  2.792E+06
  210  272     0     0  con    0  1.0E+00  8.6E-01  1.094E+02  2.792E+06
  211  273     0     0  con    0  1.0E+00  4.4E-01  8.914E+01  2.792E+06
  212  274     0     0  con    0  1.0E+00  4.1E-01  7.850E+01  2.792E+06
  213  275     0     0  con    0  1.0E+00  3.9E-01  8.422E+01  2.792E+06
  214  276     0     0  con    0  1.0E+00  4.1E-01  9.773E+01  2.792E+06
  215  277     0     0  con    0  1.0E+00  4.0E-01  3.065E+02  2.792E+06
  216  279     0     0  con    1  2.8E-01  2.6E-01  7.404E+01  2.792E+06
  217  280     0     0  con    0  1.0E+00  2.7E-01  1.725E+02  2.792E+06
  218  282     0     0  con    1  2.2E-01  2.0E-01  7.294E+01  2.792E+06
  219  283     0     0  con    0  1.0E+00  1.7E-01  4.713E+01  2.792E+06
  220  284     0     0  con    0  1.0E+00  2.6E-01  3.860E+01  2.792E+06
  221  285     0     0  con    0  1.0E+00  2.0E-01  2.860E+01  2.792E+06
  222  286     0     0  con    0  1.0E+00  2.5E-01  3.129E+01  2.792E+06
  223  287     0     0  con    0  1.0E+00  1.4E-01  2.495E+01  2.792E+06
  224  288     0     0  con    0  1.0E+00  2.2E-01  3.213E+01  2.792E+06
  225  289     0     0  con    0  1.0E+00  1.8E-01  2.609E+01  2.792E+06
  226  290     0     0  con    0  1.0E+00  2.6E-01  2.688E+01  2.792E+06
  227  291     0     0  con    0  1.0E+00  2.0E-01  3.022E+01  2.792E+06
  228  292     0     0  con    0  1.0E+00  2.8E-01  3.908E+01  2.792E+06
  229  293     0     0  con    0  1.0E+00  2.9E-01  3.499E+01  2.792E+06
  230  294     0     0  con    0  1.0E+00  3.1E-01  3.205E+01  2.792E+06
  231  295     0     0  con    0  1.0E+00  2.7E-01  3.570E+01  2.792E+06
  232  296     0     0  con    0  1.0E+00  5.8E-01  5.824E+01  2.792E+06
  233  297     0     0  con    0  1.0E+00  3.7E-01  5.790E+01  2.792E+06
  234  298     0     0  con    0  1.0E+00  5.5E-01  5.865E+01  2.792E+06
  235  299     0     0  con    0  1.0E+00  4.4E-01  5.689E+01  2.792E+06
  236  300     0     0  con    0  1.0E+00  8.1E-01  7.043E+01  2.791E+06
  237  301     0     0  con    0  1.0E+00  1.1E+00  6.348E+01  2.791E+06
  238  302     0     0  con    0  1.0E+00  1.5E+00  7.143E+01  2.791E+06
  239  303     0     0  con    0  1.0E+00  1.7E+00  5.837E+01  2.791E+06
  240  304     0     0  con    0  1.0E+00  3.6E+00  9.349E+01  2.791E+06
  241  305     0     0  con    0  1.0E+00  5.3E+00  4.462E+02  2.791E+06
  242  306     0     0  con    0  1.0E+00  1.0E+01  3.375E+02  2.791E+06
  243  307     0     0  con    0  1.0E+00  2.7E+00  1.268E+02  2.791E+06
  244  308     0     0  con    0  1.0E+00  1.7E+00  9.499E+01  2.790E+06
  245  309     0     0  con    0  1.0E+00  1.5E+01  1.231E+02  2.790E+06
  246  310     0     0  con    0  1.0E+00  3.3E+01  2.288E+02  2.789E+06
  247  314     0     0  con    3  4.8E-01  5.6E+01  8.004E+02  2.785E+06
  248  319     0     0  con    4  2.4E-02  1.5E+00  4.216E+02  2.785E+06
  249  320     0     0  con    0  1.0E+00  9.5E+00  1.206E+03  2.784E+06
  250  321     0     0  con    0  1.0E+00  1.0E+01  3.245E+02  2.782E+06
  251  322     0     0  con    0  1.0E+00  1.8E+00  8.913E+02  2.781E+06
  252  323     0     0  con    0  1.0E+00  2.0E+00  1.931E+02  2.781E+06
  253  324     0     0  con    0  1.0E+00  6.5E-01  1.654E+02  2.780E+06
  254  325     0     0  con    0  1.0E+00  1.1E+00  1.222E+02  2.780E+06
  255  327     0     0  con    1  3.3E-01  3.3E+00  3.619E+02  2.780E+06
  256  329     0     0  con    1  2.6E-01  1.7E+00  1.172E+02  2.780E+06
  257  330     0     0  con    0  1.0E+00  1.1E+00  2.142E+02  2.780E+06
  258  332     0     0  con    1  4.5E-01  1.3E+00  1.142E+02  2.780E+06
  259  333     0     0  con    0  1.0E+00  6.4E-01  2.040E+02  2.779E+06
  260  334     0     0  con    0  1.0E+00  6.9E-01  7.932E+01  2.779E+06
  261  335     0     0  con    0  1.0E+00  3.8E-01  8.271E+01  2.779E+06
  262  336     0     0  con    0  1.0E+00  6.8E-01  1.084E+02  2.779E+06
  263  337     0     0  con    0  1.0E+00  5.0E-01  4.549E+01  2.779E+06
  264  338     0     0  con    0  1.0E+00  9.3E-01  1.215E+02  2.779E+06
  265  339     0     0  con    0  1.0E+00  5.4E-01  7.513E+01  2.779E+06
  266  340     0     0  con    0  1.0E+00  7.5E-01  7.133E+01  2.779E+06
  267  341     0     0  con    0  1.0E+00  1.3E+00  3.513E+02  2.779E+06
  268  343     0     0  con    1  2.8E-01  1.3E+00  2.805E+02  2.779E+06
  269  344     0     0  con    0  1.0E+00  1.0E+00  2.272E+02  2.779E+06
  270  345     0     0  con    0  1.0E+00  1.2E+00  1.518E+02  2.779E+06
  271  346     0     0  con    0  1.0E+00  1.2E+00  1.767E+02  2.778E+06
  272  347     0     0  con    0  1.0E+00  7.5E-01  1.139E+02  2.778E+06
  273  348     0     0  con    0  1.0E+00  1.6E+00  1.773E+02  2.778E+06
  274  349     0     0  con    0  1.0E+00  8.0E-01  1.109E+02  2.778E+06
  275  350     0     0  con    0  1.0E+00  6.7E-01  4.063E+01  2.778E+06
  276  351     0     0  con    0  1.0E+00  1.7E+00  2.061E+02  2.778E+06
  277  352     0     0  con    0  1.0E+00  1.4E+00  5.149E+01  2.778E+06
  278  353     0     0  con    0  1.0E+00  2.0E+00  1.225E+02  2.778E+06
  279  354     0     0  con    0  1.0E+00  2.8E+00  1.173E+02  2.778E+06
  280  355     0     0  con    0  1.0E+00  4.6E+00  1.163E+02  2.777E+06
  281  356     0     0  con    0  1.0E+00  7.1E+00  1.025E+02  2.777E+06
  282  357     0     0  con    0  1.0E+00  1.1E+01  2.354E+02  2.777E+06
  283  358     0     0  con    0  1.0E+00  1.6E+01  7.388E+02  2.776E+06
