step,nodes,angles,length
step 418 (to lug),lug 3 in = git 4 in,left 9 head 69 tail 74,T40.1 (50 7/8) 50.7
step 415 IN! (to pun),pun.2 out = ape.1 out,right 0 head 90 tail 90,T40.2 (80 5/8) 29.6
step 338 (to coy),coy 2 in = ads 1 in,right 0 head 70 tail 103,T40.3 ( 126 ) 45.3
step 322 (to cut),cut 12 in = dig 6 out,right 6 head 50 tail 112,T41.1 (31 7/8) 31.7
step 310 (to lye),lye 12 in = tot 6 out,right 5 head 53 tail 106,T41.2 (65 1/2) 33.5
step 344 (to coy),coy 10 in = art 7 out,right 10 head 44 tail 124,T41.3 (95 5/8) 30
step 414 IN! (to pun),pun.1 out = tom.2 out,left 1 head 80 tail 82,T41.4 ( 126 ) 30.2
step 264 IN! (to the),the.1 out = air.2 out,left 1 head 90 tail 90,T42.1 (33 5/8) 33.5
step 170 (to cue),cue 8 in = hen 6 out,left 7 head 61 tail 106,T42.2 (74 1/2) 40.7
step 108 (to tab),tab 1 in = poi 2 in,right 0 head 70 tail 79,T42.3 ( 126 ) 51.4
step 104 (to tad),tad 11 in = ass 6 out,right 8 head 52 tail 124,T43.1 (33 1/4) 33.2
step 373 (to lip),lip 12 in = dog 6 out,right 6 head 53 tail 116,T43.2 (67 3/8) 34
step 384 IN! (to mag),mag.3 out = rad.3 out,left 1 head 80 tail 79,T43.3 (96 5/8) 29
step 392 (to pix),pix 10 in = hit 6 out,right 0 head 47 tail 117,T43.4 ( 126 ) 29.3
step 351 (to ads),ads 10 in = two 6 out,left 10 head 50 tail 105,T44.1 (30 3/4) 30.7
step 87 IN! (to try),try.2 out = ram.1 out,right 0 head 90 tail 90,T44.2 ( 62 ) 31.1
step 71 (to ado),ado 8 in = toy 4 out,right 2 head 54 tail 109,T44.3 ( 94 ) 31.8
step 349 (to ads),ads 8 in = hat 6 out,left 3 head 53 tail 101,T44.4 ( 126 ) 31.9
step 301 IN! (to til),til.3 out = hat.3 out,right 0 head 77 tail 77,T45.1 (31 1/4) 31.1
step 239 (to pet),pet 12 in = ape 6 out,right 3 head 51 tail 117,T45.2 ( 64 ) 32.6
step 389 (to pix),pix 7 in = hew 5 out,left 3 head 52 tail 113,T45.3 (94 3/4) 30.5
step 359 (to gnu),gnu 7 in = has 4 out,right 4 head 53 tail 112,T45.4 ( 126 ) 31.2
step 352 IN! (to hat),hat.1 out = art.2 out,right 10 head 78 tail 74,T46.1 (42 3/8) 42.3
step 393 IN! (to hit),hit.1 out = dig.3 out,left 3 head 74 tail 76,T46.2 (76 3/4) 34.2
step 44 (to ply),ply 4 in = tad 3 in,left 3 head 78 tail 72,T46.3 ( 126 ) 49.1
step 333 (to tax),tax 11 in = hey 8 out,left 2 head 56 tail 106,T47.1 (35 1/4) 35.2
step 173 IN! (to hen),hen.2 out = hog.1 out,right 2 head 90 tail 90,T47.2 (74 1/2) 39
step 210 (to ace),ace 2 in = pet 1 in,right 2 head 90 tail 90,T47.3 ( 126 ) 51.4
step 294 (to goo),goo 8 in = all 4 out,right 6 head 56 tail 107,T48.1 (34 1/8) 34
step 362 (to gnu),gnu 10 in = dib 8 out,right 3 head 62 tail 113,T48.2 (74 1/2) 40.2
step 198 (to gin),gin 1 in = tax 4 in,right 3 head 73 tail 74,T48.3 ( 126 ) 51.4
step 376 IN! (to mad),mad.3 out = ran.3 out,right 0 head 76 tail 75,T49.1 (31 3/8) 31.2
step 270 (to tan),tan 7 in = mag 4 out,right 5 head 55 tail 116,T49.2 ( 64 ) 32.5
step 383 IN! (to has),has.1 out = mag.1 out,right 3 head 78 tail 77,T49.3 ( 95 ) 30.8
step 347 (to ads),ads 6 in = man 5 out,right 9 head 53 tail 105,T49.4 ( 126 ) 30.9
step 330 (to tax),tax 8 in = top 5 out,left 13 head 67 tail 90,T50.1 (44 1/4) 44.1
step 95 (to gig),gig 10 in = had 4 out,left 3 head 54 tail 116,T50.2 (77 7/8) 33.5
step 337 (to coy),coy 1 in = lip 2 in,right 0 head 76 tail 97,T50.3 ( 126 ) 48
step 399 (to log),log 7 in = maw 6 out,left 12 head 53 tail 102,T51.1 (31 3/8) 31.3
step 371 (to lip),lip 10 in = mad 4 out,right 4 head 53 tail 115,T51.2 (63 7/8) 32.3
step 390 (to pix),pix 8 in = tub 6 out,right 3 head 50 tail 114,T51.3 (94 3/8) 30.3
step 375 IN! (to dew),dew.2 out = mad.1 out,right 0 head 90 tail 90,T51.4 ( 126 ) 31.6
step 368 (to lip),lip 7 in = top 6 out,right 8 head 66 tail 106,T52.1 (43 3/4) 43.6
step 403 IN! (to all),all.2 out = rat.3 out,left 1 head 76 tail 77,T52.2 (77 1/2) 33.6
step 417 (to lug),lug 2 in = tar 1 in,right 11 head 90 tail 90,T52.3 ( 126 ) 48.4
step 110 (to tab),tab 5 in = ace 6 in,left 5 head 69 tail 82,T53.1 (44 3/8) 44.3
step 274 (to tan),tan 11 in = pow 6 out,left 7 head 53 tail 119,T53.2 ( 78 ) 33.4
